Site,Project,Project_Code,Stage,Site_Type,Resource_Oz_Au,Resource_Mt,Resource_Grade_gpt,Reserve_Oz_Au,Reserve_Mt,Reserve_Grade_gpt,Resource_Categories,Resource_Statuses,Estimate_Date,Distance_km,Nearest_FRS_Cluster,Dist_Edna_May_Mill_km,Dist_Lake_Johnston_Plant_km,Latitude,Longitude,Primary_Owner,All_Owners,N_Latest_Rows,N_Total_Historical
Super Pit,Golden Mile,J00102,Operating,Mine,38369264,836.282,1.43,14285387,363.973,1.22,Resource,"Indicated, Inferred, Measured",31/03/2025,41.2,25,273.6,185.9,-30.777958,121.50353,Northern Star Resources Ltd,Northern Star Resources Ltd (100.00%); Saracen Mineral Holdings Ltd; Northern Star (Klv) Pty Ltd; Northern Star (Saracen Kalgoorlie) Pty Ltd,5,133
Fimiston Superpit,Golden Mile,J00102,Operating,Mine,29346215,570.144,1.6,1884976,25.491,2.3,Resource,"Indicated, Inferred",31/03/2025,41.2,25,273.6,185.9,-30.777958,121.50353,Northern Star Resources Ltd,Northern Star Resources Ltd (100.00%); Saracen Mineral Holdings Ltd; Northern Star (Klv) Pty Ltd; Northern Star (Saracen Kalgoorlie) Pty Ltd,4,26
Golden Valley,Kanowna -Golden Valley,J00181,Shut,Mine,8003642,108.982,2.28,1171843,24.64,1.48,Resource,"Indicated, Inferred, Measured",31/03/2025,45.8,25,276.4,204.4,-30.570241,121.466638,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),7,158
Kundana,Kundana - White Flag,J00358,Undeveloped,Deposit,7182120,171.525,1.3,2127267,50.92,1.3,Resource,"Indicated, Inferred, Measured",31/12/2024,35.9,15,250.1,182.1,-30.696097,121.224594,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,8,91
South Kal Group,South Kalgoorlie Operations,J00276,Shut,Mine,3164913,36.791,2.68,710220,6.087,3.63,Resource,"Indicated, Inferred, Measured",31/03/2025,40.8,15,261.2,153.9,-31.080905,121.432009,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,6,91
Kanowna Belle,Kanowna -Golden Valley,J00181,Operating,Mine,2996398,18.826,4.95,2133344,14.024,4.73,Resource,"Indicated, Inferred, Measured",20/06/2002,34.3,25,285.3,205.7,-30.60898,121.578017,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),3,20
New Celebration,South Kalgoorlie Operations,J00276,Shut,Mine,2570819,60.43,1.32,28222,0.399,2.2,Resource,"Indicated, Inferred, Measured",30/06/2001,48.0,25,278.1,168.4,-31.026987,121.602482,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,3,7
Mt Charlotte,Golden Mile,J00102,Operating,Mine,1905896,28.2,2.1,508496,7.49,2.11,Resource,"Indicated, Inferred",30/06/2020,42.6,25,272.3,187.8,-30.746428,121.480914,Northern Star Resources Ltd,Northern Star Resources Ltd (100.00%); Saracen Mineral Holdings Ltd; Northern Star (Klv) Pty Ltd; Northern Star (Saracen Kalgoorlie) Pty Ltd,2,8
Jubilee,South Kalgoorlie Operations,J00276,Shut,Mine,1861683,29.065,1.99,0,0,0.0,Resource,"Indicated, Inferred, Measured",31/12/2000,48.3,25,278.4,168.2,-31.033183,121.606811,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,6,6
Phoenix,Bullabulling,J00033,Shut,Mine,1842238,57.0,1.01,0,0,0.0,Resource,"Indicated, Inferred",01/12/2025,12.0,15,212.7,139.3,-31.006446,120.905612,Norton Gold FIelds Pty Ltd,Jervois Mining Ltd (Royalties%); Norton Gold FIelds Pty Ltd; Franco-Nevada Australia Pty Ltd. (Royalties%); Bullabulling Operations Pty Ltd; Bullabulling Gold Pty Ltd; Zijin Mining Group; Vox Royalty Australia Pty Ltd (Royalties%); Minerals 260 Limited (100.00%); Belararox Limited; Minerals 260 Holdings Pty Ltd,2,5
Mick Adams,Mungari,J04814,Proposed,Mine,1766812,57.0,0.96,0,0,0.0,Resource,"Indicated, Inferred",14/01/2015,31.3,16,234.8,182.0,-30.639526,121.035224,Evolution Mining Limited,Evolution Mining Limited (100.00%),4,7
White Foil,Mungari,J04814,Proposed,Mine,1731784,44.35,1.21,0,0,0.0,Resource,"Indicated, Inferred",31/12/2020,30.7,15,250.3,175.1,-30.773712,121.250613,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,30
Aphrodite,Aphrodite,J03406,Proposed,Mine,1638589,25.506,2.0,0,0,0.0,Resource,"Indicated, Inferred",29/03/2021,42.7,29,272.3,236.2,-30.181097,121.229587,Genesis Minerals Ltd,Franco-Nevada Australia Pty Ltd. (Royalties%); Genesis Minerals Ltd (100.00%),4,40
Frogs Leg,Mungari,J04814,Care and Maintenance,Mine,1623995,8.914,5.67,0,0,0.0,Resource,"Indicated, Inferred, Measured",19/01/2005,33.0,15,252.4,177.1,-30.761566,121.270113,Evolution Mining Limited,Evolution Mining Limited (100.00%),4,7
Bacchus,Bullabulling,J00033,Shut,Mine,1568956,46.0,1.06,0,0,0.0,Resource,"Indicated, Inferred",01/12/2025,13.1,15,211.9,137.6,-31.021157,120.900169,Norton Gold FIelds Pty Ltd,Jervois Mining Ltd (Royalties%); Norton Gold FIelds Pty Ltd; Franco-Nevada Australia Pty Ltd. (Royalties%); Bullabulling Operations Pty Ltd; Bullabulling Gold Pty Ltd; Zijin Mining Group; Vox Royalty Australia Pty Ltd (Royalties%); Minerals 260 Limited (100.00%); Belararox Limited; Minerals 260 Holdings Pty Ltd,2,5
Daisy-Milano,Randalls - Mt Monger,J00251,Operating,Mine,1226107,2.323,16.42,85418,0.394,6.74,Resource,"Indicated, Inferred, Measured",30/06/2026,35.5,25,308.4,189.9,-31.013124,121.921372,Vault Minerals Limited,Vault Minerals Limited (100.00%); Silver Lake (Integra) Pty Limited; Silver Lake Resources Ltd; Golden Mile Milling Pty Ltd,3,96
Ora Banda,Ora Banda,J04664,Care and Maintenance,Mine,1125887,14.0,2.5,366036,2.53,4.5,Resource,"Indicated, Inferred, Measured",30/06/2000,48.0,16,250.7,212.0,-30.372109,121.088425,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Zijin Mining Group; Paddington Gold Pty LIMIted,3,5
Tindals Group,Coolgardie,J00014,Proposed,Mine,1125357,13.712,2.55,0,0,0.0,Resource,"Indicated, Inferred",31/12/2018,14.4,15,238.6,152.1,-30.971116,121.175024,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,8,25
Yilgarn Star,Marvel Loch - Southern Cross,J00226,Proposed,Mine,1005781,5.138,6.09,144238,1.547,2.9,Resource,"Indicated, Inferred, Measured",25/07/2016,38.9,77,96.4,107.2,-31.533454,119.678482,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",3,11
Edna May UG,Edna May - Westonia,J00357,Care and Maintenance,Mine,989986,30.72,1.0,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2024,20.9,70,1.5,197.5,-31.291758,118.700165,Ramelius Resources Ltd,"Evolution Mining Limited (Royalties%); Ramelius Resources Ltd (100.00%); Edna May Operations Pty Ltd; Royal Gold, Inc. (Royalties%)",3,36
Hercules,South Kalgoorlie Operations,J00276,Undeveloped,Deposit,913795,13.379,2.12,242889,2.437,3.1,Resource,"Indicated, Inferred",31/03/2025,39.4,15,262.7,161.6,-30.999238,121.435097,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,4,5
Gimlet S,Ora Banda,J04664,Shut,Mine,912760,10.7,2.65,0,0,0.0,Resource,"Indicated, Inferred",30/06/1996,45.2,16,247.8,210.0,-30.384247,121.062007,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Zijin Mining Group; Paddington Gold Pty LIMIted,2,2
Aphrodite Openpit,Aphrodite,J03406,Proposed,Mine,910831,17.1,1.66,0,0,0.0,Resource,"Indicated, Inferred",31/12/2025,42.5,29,271.9,236.1,-30.180871,121.225082,Genesis Minerals Ltd,Franco-Nevada Australia Pty Ltd. (Royalties%); Genesis Minerals Ltd (100.00%),2,2
Resources Group,Mungari,J04814,Proposed,Mine,894074,24.11,1.15,0,0,0.0,Resource,"Indicated, Inferred",31/12/2015,31.3,16,234.8,182.0,-30.639526,121.035224,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,32
Res Group,Binduli,J00019,Shut,Mine,817770,27.35,0.93,0,0,0.0,Resource,Inferred,31/12/2014,39.1,15,263.0,174.6,-30.846727,121.407511,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Bellamel Mining Ltd; Zijin Mining Group; Paddington Gold Pty LIMIted; Vox Royalty Australia Pty Ltd (Royalties%),1,3
Frogs Leg,Mungari,J04814,Shut,Mine,771334,2.868,8.37,0,0,0.0,Resource,"Indicated, Inferred, Measured",20/03/2007,33.0,15,252.4,177.1,-30.761566,121.270113,Evolution Mining Limited,Evolution Mining Limited (100.00%),3,31
Santa OP,Randalls - Mt Monger,J00251,Operating,Mine,770293,8.458,2.83,262697,4.955,1.65,Resource,"Indicated, Inferred, Measured",30/06/2025,47.3,25,335.4,208.3,-31.040925,122.209992,Vault Minerals Limited,Vault Minerals Limited (100.00%); Silver Lake (Integra) Pty Limited; Silver Lake Resources Ltd; Golden Mile Milling Pty Ltd,3,53
